instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
srl,I,RV32;RV64,hdl,0,22,22,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
subw,I,RV64,hdl,0,22,22,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
csrrw,Zicsr,RV32;RV64,asm;hdl,4,17,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/scripts/debug_rom/debug_rom_nonzero.S
ror,B,RV32;RV64,hdl,0,21,21,0,0,generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/rocket/ALU.scala;generators/rocket-chip/src/main/scala/rocket/IDecode.scala;generators/rocket-chip/src/main/scala/rocket/Instructions.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
fsgnj.d,D,RV32;RV64,hdl,0,20,20,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fsgnj.s,F,RV32;RV64,hdl,0,20,20,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
ori,I,RV32;RV64,hdl,0,20,20,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
sh,I,RV32;RV64,hdl,0,20,20,0,0,generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v4/common/consts.scala;generators/boom/src/main/scala/v4/exu/core.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/boom/src/main/scala/v4/exu/execution-units/execution-unit.scala
slliw,I,RV64,hdl,0,20,20,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
sllw,I,RV64,hdl,0,20,20,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
slti,I,RV32;RV64,hdl,0,20,20,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
sltiu,I,RV32;RV64,hdl,0,20,20,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
sraw,I,RV64,hdl,0,20,20,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
srliw,I,RV64,hdl,0,20,20,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
srlw,I,RV64,hdl,0,20,20,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
xori,I,RV32;RV64,hdl,0,20,20,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
auipc,I,RV32;RV64,asm;hdl,1,18,18,0,0,generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/common/consts.scala;generators/boom/src/main/scala/v4/exu/decode.scala;software/baremetal-ide/platform/qemuvirt/boot/startup.S
fadd.d,D,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fadd.s,F,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fmadd.d,D,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fmadd.s,F,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fmsub.d,D,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
